Day,Breakfast,Lunch,Dinner,Mood,Cycle_Phase,Dietary_Advice_Breakfast,Dietary_Advice_Lunch,Dietary_Advice_Dinner
11,Yam and Egg Sauce,Ofada Rice and Ayamase,Okra Soup with Eba,Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,"Good source of energy, provides protein and vitamins.",Good source of fiber and protein.,"Rich in fiber, vitamins, and minerals."
12,Pap and Akara,Amala and Ewedu Soup,Suya and Salad,Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,"Combination of carbohydrates and protein, good for energy.","Rich in fiber, low in fat, good for digestion.","High in protein, includes fresh vegetables."
13,Plantain and Egg,Beans and Plantain,Pounded Yam and Egusi Soup,Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,"Rich in carbohydrates and protein, contains essential vitamins.","High in protein and fiber, good energy source.",High in carbohydrates and protein.
14,Bread and Tea,Fried Rice and Chicken,Coconut Rice and Shrimp,Variable,The follicular phase starts at the end of the menstrual phase and lasts until ovulation (around day 14). This phase is characterized by the growth of follicles in the ovaries.,"Light meal, provides carbohydrates and hydration.","Balanced meal with protein, carbohydrates, and vitamins.","Rich in healthy fats, protein, and carbohydrates."
15,Akara (bean cakes),Jollof Rice,Pepper Soup,Variable,"Ovulation occurs around the 14th day and is the phase where an egg is released from the ovaries, making it the most fertile period.","High in protein and fiber, good for energy.","Rich in carbohydrates and vegetables, provides energy.","Light and soothing, good for digestion."
16,Moi Moi (steamed bean pudding),Egusi Soup with pounded yam,Nkwobi (spicy cow foot),Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.",Rich in protein and low in cholesterol.,"High in protein, vitamins, and carbohydrates.","High in protein, contains collagen."
17,Ogi (fermented cereal pudding),Efo Riro (spinach stew),Grilled Fish with plantains,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Easy to digest, rich in carbohydrates.","Rich in vitamins and minerals, low in calories.",Rich in omega-3 fatty acids and carbohydrates.
18,Yam and Egg Sauce,Ofada Rice and Ayamase,Okra Soup with Eba,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Good source of energy, provides protein and vitamins.",Good source of fiber and protein.,"Rich in fiber, vitamins, and minerals."
19,Pap and Akara,Amala and Ewedu Soup,Suya and Salad,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Combination of carbohydrates and protein, good for energy.","Rich in fiber, low in fat, good for digestion.","High in protein, includes fresh vegetables."
20,Plantain and Egg,Beans and Plantain,Pounded Yam and Egusi Soup,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Rich in carbohydrates and protein, contains essential vitamins.","High in protein and fiber, good energy source.",High in carbohydrates and protein.
21,Bread and Tea,Fried Rice and Chicken,Coconut Rice and Shrimp,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Light meal, provides carbohydrates and hydration.","Balanced meal with protein, carbohydrates, and vitamins.","Rich in healthy fats, protein, and carbohydrates."
22,Akara (bean cakes),Jollof Rice,Pepper Soup,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","High in protein and fiber, good for energy.","Rich in carbohydrates and vegetables, provides energy.","Light and soothing, good for digestion."
23,Moi Moi (steamed bean pudding),Egusi Soup with pounded yam,Nkwobi (spicy cow foot),Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.",Rich in protein and low in cholesterol.,"High in protein, vitamins, and carbohydrates.","High in protein, contains collagen."
24,Ogi (fermented cereal pudding),Efo Riro (spinach stew),Grilled Fish with plantains,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Easy to digest, rich in carbohydrates.","Rich in vitamins and minerals, low in calories.",Rich in omega-3 fatty acids and carbohydrates.
25,Yam and Egg Sauce,Ofada Rice and Ayamase,Okra Soup with Eba,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Good source of energy, provides protein and vitamins.",Good source of fiber and protein.,"Rich in fiber, vitamins, and minerals."
26,Pap and Akara,Amala and Ewedu Soup,Suya and Salad,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Combination of carbohydrates and protein, good for energy.","Rich in fiber, low in fat, good for digestion.","High in protein, includes fresh vegetables."
27,Plantain and Egg,Beans and Plantain,Pounded Yam and Egusi Soup,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Rich in carbohydrates and protein, contains essential vitamins.","High in protein and fiber, good energy source.",High in carbohydrates and protein.
28,Bread and Tea,Fried Rice and Chicken,Coconut Rice and Shrimp,Variable,"The luteal phase begins after ovulation and lasts until menstruation starts. It's characterized by the corpus luteum, which produces progesterone to thicken the uterine lining.","Light meal, provides carbohydrates and hydration.","Balanced meal with protein, carbohydrates, and vitamins.","Rich in healthy fats, protein, and carbohydrates."
